method,spamming_rate,divisiveness_rate,majority_accuracy,minority_accuracy,majority_f1,minority_f1
NUTMEG,0.25,0.2,0.99,0.794,0.9898580121703854,0.8257191201353637
MACE,0.25,0.3,0.986,0.7,0.9864077669902912,0.7035573122529645
NUTMEG,0.25,0.3,0.984,0.834,0.9844357976653696,0.8551483420593369
MACE,0.25,0.4,0.986,0.59,0.986138613861386,0.5924453280318092
NUTMEG,0.25,0.4,0.99,0.794,0.9900596421471172,0.7541766109785203
MACE,0.25,0.5,0.992,0.5,0.9922779922779924,0.51171875
NUTMEG,0.25,0.5,0.984,0.798,0.9844961240310076,0.7589498806682577
MACE,0.25,0.6,0.984,0.432,0.983739837398374,0.4274193548387097
NUTMEG,0.25,0.6,0.984,0.782,0.983739837398374,0.7321867321867321
MACE,0.25,0.7,0.978,0.32,0.9771309771309772,0.3089430894308943
NUTMEG,0.25,0.7,0.972,0.802,0.9707112970711296,0.7692307692307693
MACE,0.25,0.8,0.984,0.208,0.984251968503937,0.2142857142857142
NUTMEG,0.25,0.8,0.986,0.778,0.9861932938856016,0.8134453781512605
MACE,0.25,0.9,0.992,0.116,0.992156862745098,0.1264822134387351
NUTMEG,0.25,0.9,0.996,0.786,0.996078431372549,0.7358024691358025
MACE,0.25,1.0,0.99,0.01,0.9898580121703854,0.0
NUTMEG,0.25,1.0,0.986,0.782,0.9857433808553973,0.7386091127098321
MACE,0.5,0.0,0.954,0.954,0.9544554455445544,0.9544554455445544
NUTMEG,0.5,0.0,0.92,0.664,0.9193548387096774,0.5961538461538461
MACE,0.5,0.1,0.928,0.862,0.926530612244898,0.8606060606060606
NUTMEG,0.5,0.1,0.924,0.676,0.9233870967741936,0.7235494880546075
MACE,0.5,0.2,0.94,0.778,0.9390243902439024,0.7766599597585513
NUTMEG,0.5,0.2,0.912,0.664,0.9123505976095616,0.5942028985507246
MACE,0.5,0.3,0.922,0.72,0.9242718446601942,0.7244094488188977
NUTMEG,0.5,0.3,0.932,0.696,0.9346153846153846,0.7397260273972602
MACE,0.5,0.4,0.928,0.572,0.9271255060728744,0.570281124497992
NUTMEG,0.5,0.4,0.94,0.674,0.939516129032258,0.7223168654173765
MACE,0.5,0.5,0.93,0.488,0.9304174950298212,0.492063492063492
NUTMEG,0.5,0.5,0.918,0.67,0.9178356713426854,0.617169373549884
MACE,0.5,0.6,0.938,0.434,0.93812375249501,0.4373757455268389
NUTMEG,0.5,0.6,0.93,0.694,0.9298597194388778,0.7366609294320138
MACE,0.5,0.7,0.942,0.328,0.9394572025052192,0.3170731707317073
NUTMEG,0.5,0.7,0.938,0.652,0.9350104821802936,0.589622641509434
MACE,0.5,0.8,0.944,0.246,0.944,0.24750499001996
NUTMEG,0.5,0.8,0.936,0.674,0.9362549800796812,0.7223168654173765
MACE,0.5,0.9,0.952,0.146,0.9523809523809524,0.1544554455445544
NUTMEG,0.5,0.9,0.952,0.72,0.952191235059761,0.7594501718213058
MACE,0.5,1.0,0.934,0.066,0.933867735470942,0.0752475247524752
NUTMEG,0.5,1.0,0.94,0.682,0.94,0.6168674698795181
