method,spamming_rate,divisiveness_rate,competence_correlation,majority_competence_correlation,minority_competence_correlation
MACE,0.15,1.0,0.2894441160964184,0.28468840985920846,0.32036540624318993
NUTMEG,0.15,1.0,0.8167614268803398,0.8337817132266079,0.6546317035475938
MACE,0.2,0.0,0.8697590115831677,0.8915508103979899,0.7318139625643247
NUTMEG,0.2,0.0,0.7749903955078168,0.8085101364033019,0.5913624574338632
MACE,0.2,0.1,0.8478827835914349,0.8526258076538186,0.8509620208411031
NUTMEG,0.2,0.1,0.7814310263576554,0.80029029415544,0.6615673568525405
MACE,0.2,0.2,0.7180567448841639,0.7016562926726173,0.7807841011676601
NUTMEG,0.2,0.2,0.7869320152990125,0.7641018519428453,0.8822741840736311
MACE,0.2,0.3,0.6469204130627404,0.6597859897007257,0.604343594847989
NUTMEG,0.2,0.3,0.856290127150064,0.8481739113334688,0.8919622300267033
MACE,0.2,0.4,0.5648794729136939,0.5530547250246032,0.6283147780753078
NUTMEG,0.2,0.4,0.8519326484212036,0.8544713220107258,0.8415596508960496
MACE,0.2,0.5,0.48384582891138694,0.4085275578834431,0.6755917673262504
NUTMEG,0.2,0.5,0.7751391651274021,0.7568424693601297,0.8084666081438778
MACE,0.2,0.6,0.42969421125401175,0.43460090334918344,0.40967390690201494
NUTMEG,0.2,0.6,0.826772538671608,0.8546920589287743,0.6493306201268925
MACE,0.2,0.7,0.3531352139056232,0.34633671224508666,0.3785212572368299
NUTMEG,0.2,0.7,0.7323256234304987,0.7233138191500477,0.7936354718679476
MACE,0.2,0.8,0.43554628263820105,0.3768375734088124,0.5943119386649538
NUTMEG,0.2,0.8,0.8440877339095358,0.818134901665126,0.895121240295415
MACE,0.2,0.9,0.35449155454560954,0.3523040831669224,0.36315336408294
NUTMEG,0.2,0.9,0.8131640250580223,0.7921058727951132,0.9065391316303877
MACE,0.2,1.0,0.41145218470427025,0.3452674106135033,0.5820337235191375
NUTMEG,0.2,1.0,0.7713484372748526,0.7779457632659326,0.749510541288675
MACE,0.25,0.0,0.9164772462373699,0.9131768305397651,0.9328898417833447
NUTMEG,0.25,0.0,0.8225482800908613,0.8221464432275956,0.8228390651659494
MACE,0.25,0.1,0.776852957747702,0.8018140211782279,0.6832932514157363
NUTMEG,0.25,0.1,0.7435974532753024,0.7568583738382357,0.6949022714103182
MACE,0.25,0.2,0.7481454452045817,0.7427582556018845,0.7829089645995921
NUTMEG,0.25,0.2,0.7515314498327839,0.7277540538271793,0.7996204828968224
MACE,0.25,0.3,0.6415320773816106,0.6706362853829696,0.5153551815621853
NUTMEG,0.25,0.3,0.8286679434347378,0.8243318375412583,0.8433804889807767
MACE,0.25,0.4,0.6281374396688373,0.5994158297509383,0.7611018433269933
NUTMEG,0.25,0.4,0.8421264362780161,0.8299541067976518,0.9055380384597478
MACE,0.25,0.5,0.4620391689863606,0.4096873488415889,0.594391659426679
NUTMEG,0.25,0.5,0.7566725071444224,0.7494255182530687,0.752501493843521
MACE,0.25,0.6,0.4266685028929758,0.4471068232532831,0.34587140535673383
NUTMEG,0.25,0.6,0.7686019905002418,0.8046942271904404,0.6265910413417232
MACE,0.25,0.7,0.4175630803130835,0.39847224615236204,0.5013573869231087
NUTMEG,0.25,0.7,0.7633766312152974,0.764453697808001,0.7649514203294274
MACE,0.25,0.8,0.5095298909126502,0.5148759737436572,0.48371641792256853
NUTMEG,0.25,0.8,0.89468941055512,0.9019365040345884,0.8716930459197164
MACE,0.25,0.9,0.4106574898264479,0.3864952481240087,0.5160435151884473
NUTMEG,0.25,0.9,0.8193290336577616,0.8540360743943418,0.6960911335435994
MACE,0.25,1.0,0.5027705487851181,0.5192690453384685,0.38303465371004775
NUTMEG,0.25,1.0,0.8550362707882839,0.8660336700810669,0.8205028956187517
